@relation train_splitted

@ATTRIBUTE Loan_Closed_Days_Since REAL
@ATTRIBUTE Census_Block_Order_Key REAL
@ATTRIBUTE Foa_Mgmt_Co_Dim_Key REAL
@ATTRIBUTE Owner_Key REAL
@ATTRIBUTE Stmt_Days_Since REAL
@ATTRIBUTE Total_Total_Funds_Flow_Prior_To_Ce__DS REAL
@ATTRIBUTE Total_Replacement_Reserve_Reimbursements REAL
@ATTRIBUTE Total_Interest_Income_Earned_On_RR_And_Special_Escrow REAL
@ATTRIBUTE Total_Gross_Debt_Service__Mortgage REAL
@ATTRIBUTE Total_Gross_Debt_Service__Energy_Loans REAL
@ATTRIBUTE Total_Current_Assets REAL
@ATTRIBUTE Total_Current_Liabilities REAL
@ATTRIBUTE Current_Portion_Of_Mortgage_Payable REAL
@ATTRIBUTE Notes__Advances__Due_Within_1_Year REAL
@ATTRIBUTE Gross_Sf_Residential REAL
@ATTRIBUTE Gross_Sf_Residential_Communal REAL
@ATTRIBUTE Gross_Sf_Residential_Noncommunal REAL
@ATTRIBUTE Gross_Sf_Commercial REAL
@ATTRIBUTE Gross_Sf_Unfinished_Space REAL
@ATTRIBUTE Gross_Sf_Parking_Structure REAL
@ATTRIBUTE Square_Footage_Net_Rentable REAL
@ATTRIBUTE Square_Footage_Residential_Net_Rentable REAL
@ATTRIBUTE Square_Footage_Commercial_Net_Rentable REAL
@ATTRIBUTE Number_Of_Buildings REAL
@ATTRIBUTE Number_Of_Predominant_Stories REAL
@ATTRIBUTE Number_Of_Elevators REAL
@ATTRIBUTE Total_Gross_Sf_Land REAL
@ATTRIBUTE Total_Gross_Sf_Buildings REAL
@ATTRIBUTE Total_Rental_Units REAL
@ATTRIBUTE Low_Income_Rental_Units REAL
@ATTRIBUTE Moderate_Income_Rental_Units REAL
@ATTRIBUTE Market_Rate_Rental_Units REAL
@ATTRIBUTE Non_Revenue_Rental_Units REAL
@ATTRIBUTE Elderly_Restricted_Rental_Units REAL
@ATTRIBUTE Unrestricted_Rental_Units REAL
@ATTRIBUTE Student_Rental_Units REAL
@ATTRIBUTE Other_Restricted_Rental_Units REAL
@ATTRIBUTE Fully_Access_Handicapped_Rental_Units REAL
@ATTRIBUTE Partially_Access_Handicapped_Rental_Units REAL
@ATTRIBUTE Average_Bedroom_Density REAL
@ATTRIBUTE Studio_Rental_Units REAL
@ATTRIBUTE One_Bedroom_Rental_Units REAL
@ATTRIBUTE Two_Bedroom_Rental_Units REAL
@ATTRIBUTE Three_Bedroom_Rental_Units REAL
@ATTRIBUTE Four_Bedroom_Rental_Units REAL
@ATTRIBUTE Five_Bedroom_Rental_Units REAL
@ATTRIBUTE Six_Bedroom_Rental_Units REAL
@ATTRIBUTE Is_Detail_Code_236DEC REAL
@ATTRIBUTE Is_Detail_Code_DISPA REAL
@ATTRIBUTE Is_Detail_Code_ELDER REAL
@ATTRIBUTE Is_Detail_Code_INTERN REAL
@ATTRIBUTE Is_Detail_Code_M2W REAL
@ATTRIBUTE Is_Detail_Code_M2WDEC REAL
@ATTRIBUTE Is_Detail_Code_MISC REAL
@ATTRIBUTE Is_Detail_Code_OPTION REAL
@ATTRIBUTE Is_Detail_Code_OSDEBT REAL
@ATTRIBUTE Is_Detail_Code_RAD REAL
@ATTRIBUTE Is_Detail_Code_RADDEC REAL
@ATTRIBUTE Is_Detail_Code_RDAL REAL
@ATTRIBUTE Is_Detail_Code_S8LMSA REAL
@ATTRIBUTE Is_Detail_Code_S8NCON REAL
@ATTRIBUTE Is_Detail_Code_S8SUBR REAL
@ATTRIBUTE Is_Detail_Code_SEC13A REAL
@ATTRIBUTE Is_Detail_Code_SEC236 REAL
@ATTRIBUTE Is_Detail_Code_SHARP REAL
@ATTRIBUTE Is_Detail_Code_SHRDAL REAL
@ATTRIBUTE Is_Detail_Code_SOFT REAL
@ATTRIBUTE Is_Detail_Code_TCRED4 REAL
@ATTRIBUTE Is_Detail_Code_TCRED9 REAL
@ATTRIBUTE Raw_Rm_Key STRING
@ATTRIBUTE Raw_Stmt_Date STRING
@ATTRIBUTE Financial_Rating {0, 1, 2, 3, 4}

@data
0.942669,0.223179,0.033465,0.397436,0.96527,0.038442,0.039803,0.121525,0.010945,0,0.004589,0.002064,0.001793,0.001763,0,0,0,0,0,0,0.055889,0.055889,0,0.011905,0.36,0.181818,0.033867,0.026249,0.072543,0.024516,0,0.084938,0,0,0.078859,0,0,0,0,0.2975,0,0.135231,0.027565,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,12/31/1995,0
0.965291,0.845732,0.281496,0.987179,0.96527,0.028089,0,0.106839,0.010869,0,0.006609,0.004111,0.002752,0.001763,0.039851,0.018561,0.035892,0.162896,0,0,0.088623,0.082091,0.19112,0.011905,0.16,0,0.013618,0.042347,0.043682,0.073548,0,0,0,0,0.047819,0,0,0,0,0.78,0,0.005338,0.007657,0.152709,0.125874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,656,12/31/1995,2
0.972713,0.612373,0.61811,0.410256,0.96527,0.036884,0,0.134812,0.017485,0,0.005767,0.006221,0.00302,0.001763,0.034613,0.0027,0.034037,0,0,0,0.08081,0.08081,0,0.202381,0.08,0,0.138377,0.034613,0.077223,0.100645,0,0.024915,0,0,0.083893,0,0,0,0,0.49,0,0.02847,0.11026,0.059113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,662,12/31/1995,0
0.962322,0.444009,0.061024,0.692308,0.96527,0.061181,0.076319,0.162366,0.029888,0,0.149529,0.006042,0.003322,0.001763,0.059444,0.024023,0.054321,0,0,0.004244,0.08481,0.08481,0,0.071429,0.12,0,0.048167,0.060131,0.119345,0.094194,0.035049,0.055493,0,0,0.129195,0,0,0,0,0.39,0.086705,0.078292,0.134763,0.034483,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,12/31/1995,0
0.938569,0.834769,0.429134,0.519231,0.96527,0.022402,0,0.103944,0.001199,0,0.000382,0.000282,0.000213,0.001763,0.003042,0.00151,0.00272,0,0.056001,0.00263,0.008632,0.008632,0,0.011905,0.12,0,0.001624,0.004134,0.0039,0.007742,0,0,0,0,0.005034,0,0,0,0,0.9175,0,0,0,0.009852,0.027972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,667,12/31/1995,0
0.970239,0.067345,0.440945,0.487179,0.96527,0.029058,0,0.128535,0.006946,0,0.006646,0.002489,0.001689,0.001763,0.02529,0.012897,0.02254,0,0,0.004842,0.06104,0.06104,0,0.071429,0.12,0,0.036629,0.02529,0.055382,0.023226,0.059146,0,0,0,0.060403,0,0,0.061538,0,0.4575,0,0.021352,0.091884,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,12/31/1995,0
0.973703,0.827721,0.962598,0.935897,0.96527,0.028378,0.003173,0.108374,0.007159,0,0.007145,0.002058,0.001184,0.001763,0.014106,0.007297,0.01255,0,0,0.004748,0.037581,0.037581,0,0.190476,0.12,0,0.01041,0.014874,0.034321,0.058065,0,0,0,0,0.037752,0,0,0,0,0.6275,0,0.003559,0.027565,0.123153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,669,12/31/1995,0
0.961332,0.924824,0.444882,0.25,0.96527,0.02609,0.002541,0.109606,0.005491,0,0.002719,0.001141,0.000593,0.001763,0.068905,0,0.068905,0,0,0,0.010249,0.010249,0,0.011905,0.16,0,0.002002,0.068905,0.016381,0.028387,0,0,0,0,0.018456,0,0,0,0,0.3175,0,0.02847,0.009188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,671,12/31/1995,0
0.967765,0.208301,0.153543,0.474359,0.96527,0.038982,0.023678,0.166145,0.015775,0,0.012198,0.008153,0.004305,0.001763,0.04658,0.002551,0.046036,0.182231,0,0,0.12098,0.114295,0.195618,0.011905,0.36,0.181818,0,0.049372,0.127145,0.042581,0,0.148358,0,0,0.137584,0,0,0,0,0.275,0.098266,0.202847,0.050536,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,12/31/1995,0
0.961332,0.787001,0.429134,0.519231,0.96527,0.022418,0,0.103948,0.000716,0,0.000879,0.000361,0.000207,0.001763,0.004409,0,0.004409,0,0,0,0.006325,0.006325,0,0.011905,0.12,0,0.003328,0.004409,0.00624,0.003871,0.006572,0,0,0,0.00755,0,0,0,0,0.5,0,0,0.013783,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,677,12/31/1995,0
0.950587,0.25372,0.283465,0.99359,0.96527,0.046354,0.022103,0.174278,0.017239,0,0.014122,0.005709,0.0042,0.001763,0.054547,0.006799,0.053097,0,0,0,0.146344,0.146345,0,0.261905,0.12,0,0.262334,0.054547,0.124025,0.051613,0.131435,0,0,0,0.134228,0,0,0.046154,0,0.4725,0,0.074733,0.143951,0.118227,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,678,12/31/1995,0
0.891135,0.45419,0.281496,0.987179,0.96527,0.056871,0.064158,0.197131,0.013437,0,0.011871,0.008989,0.002245,0.001763,0.032237,0,0.032237,0,0,0,0.079603,0.079603,0,0.130952,0.08,0,0.150877,0.032237,0.074103,0.030968,0.078861,0,0,0,0.080537,0,0,0.046154,0,0.4325,0,0.064057,0.07657,0.049261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,681,12/31/1995,0
0.896084,0.350822,0.279528,0.980769,0.96527,0.034181,0.012563,0.165128,0.01541,0,0.005792,0.009437,0.002075,0.001763,0.026112,0,0.026112,0,0,0,0.060642,0.060642,0,0.011905,0.28,0.181818,0,0.026112,0.072543,0.049032,0.061336,0,0,0.208889,0,0,0,0,0,0.285,0,0.144128,0.019908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,684,12/31/1995,4
0.950587,0.439311,0.616142,0.326923,0.96527,0.059641,0.021258,0.103386,0.034955,0,0.010704,0.016937,0.005847,0.001763,0.055876,0.018956,0.051833,0.319496,0,0.065569,0.092542,0.080775,0.344311,0.011905,0.64,0.272727,0.004811,0.071379,0.098284,0.032258,0,0.115515,0,0,0.106544,0,0,0,0,0.285,0.092486,0.147687,0.033691,0.029557,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,12/31/1995,1
0.96423,0.051684,0.61811,0.410256,0.96527,0.033478,0.008589,0.107231,0.013782,0.092891,0.003201,0.005339,0.001588,0.001763,0.038128,0.009815,0.036035,0,0,0,0.092578,0.092578,0,0.142857,0.12,0,0.163298,0.038128,0.077223,0.074839,0.046002,0,0,0,0.083893,0,0,0,0,0.62,0,0.064057,0.018377,0.123153,0.153846,0.3125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,686,12/31/1995,1
0.953556,0.599843,0.265748,0.955128,0.96527,0.082167,0.102291,0.173833,0.029239,0,0.116027,0.022762,0.005997,0.001945,0.091395,0.008778,0.089523,0,0,0.026476,0.190893,0.190893,0,0.190476,0.12,0,0.217013,0.095678,0.156006,0.233548,0.021906,0,0,0,0.168624,0,0,0.076923,0,0.625,0,0.053381,0.107198,0.349754,0.20979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,687,12/31/1995,0
0.921815,0.584182,0.440945,0.089744,0.96527,0.071753,0.083033,0.121815,0.046885,0,0.013313,0.014443,0.006666,0.001763,0.08582,0.007173,0.08429,0,0,0,0.219828,0.219828,0,0.238095,0.08,0,0.296886,0.08582,0.233229,0.096774,0.219058,0.028313,0,0,0.251678,0,0,0,0,0.3525,0,0.313167,0.189893,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,690,12/31/1995,0
0.913969,0.075176,0.185039,0.435897,0.96527,0.033821,0.031626,0.114414,0.011951,0,0.014252,0.005273,0.001881,0.001763,0.047112,0.064871,0.033278,0,0,0,0.087081,0.087081,0,0.130952,0.12,0,0.134452,0.047112,0.077223,0.032258,0.061336,0.021518,0,0,0.083893,0,0,0.015385,0,0.49,0,0.02847,0.11026,0.059113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,691,12/31/1995,0
0.927329,0.39859,0.283465,0.99359,0.96527,0.115427,0.14925,0.237404,0.074085,0,0.048458,0.040329,0.012386,0.001763,0.182781,0.03231,0.17589,0.047333,0,0,0.355403,0.353505,0.055534,0.035714,0.56,0.545455,0,0.183506,0.361934,0.486452,0,0.09966,0,0.384444,0.244966,0,0,0.415385,0,0.4,0,0.327402,0.430322,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,694,12/31/1995,0
0.944012,0.630384,0.17126,0.224359,0.96527,0.066385,0.035411,0.113478,0.036491,0,0.016095,0.011318,0.00562,0.001763,0.062755,0.005102,0.061667,0.189331,0,0,0.137211,0.129619,0.222136,0.011905,0.88,0.181818,0.016664,0.065656,0.165367,0.003871,0.171961,0.060023,0,0,0.178691,0,0,0.030769,0,0.325,0.127168,0.188612,0.130168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,696,12/31/1995,0
0.945497,0.032106,0.061024,0.692308,0.96527,0.043074,0.023743,0.130958,0.015532,0,0.009389,0.004615,0.002344,0.001763,0.04931,0.021372,0.044752,0,0,0.009192,0.109895,0.109895,0,0.059524,0.12,0,0.10291,0.04931,0.095944,0.139355,0.016429,0,0.25,0,0.104027,0,0,0.030769,0,0.455,0,0.060498,0.119449,0.059113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,697,12/31/1995,0
0.916726,0.245889,0.521654,0.185897,0.96527,0.065876,0.079056,0.156247,0.038511,0.336813,0.013968,0.018438,0.008251,0.001763,0.070611,0.042535,0.06154,0.283997,0,0,0.177126,0.165738,0.333204,0.107143,0.28,0.181818,0.111896,0.074963,0.156006,0.096774,0.138007,0,0,0.197778,0.09396,0,0,0.246154,0,0.465,0,0.158363,0.11026,0.098522,0.13986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,698,12/31/1995,1
0.944012,0.637431,0.281496,0.987179,0.96527,0.028365,0.008123,0.130641,0.005852,0,0.008422,0.002963,0.000886,0.001763,0.013655,0.012293,0.011033,0,0,0.001036,0.030036,0.030036,0,0.011905,0.2,0.090909,0.003588,0.013822,0.039782,0,0.056955,0,0,0,0.043624,0,0,0,0,0.125,0.16185,0.039146,0.003063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,704,12/31/1995,0
0.943518,0.026625,0.281496,0.705128,0.96527,0.026898,0.007795,0.105079,0.005194,0,0.001404,0.001374,0.000971,0.001763,0.011736,0,0.011736,0,0,0.018627,0.025938,0.025938,0,0.02381,0.12,0,0.042879,0.014749,0.024961,0.042581,0,0,0,0,0.027685,0,0,0,0,0.5825,0,0.003559,0.030628,0.044335,0.013986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,706,12/31/1995,0
0.944012,0.128426,0.283465,0.99359,0.96527,0.076189,0.164655,0.207734,0.044296,0,0.030358,0.041108,0.00668,0.001763,0.101908,0,0.101908,0,0,0,0.204108,0.204108,0,0.02381,0.48,0.363636,0,0.101908,0.194228,0.129032,0.164294,0,0,0,0.209732,0,0,0,0,0.5175,0,0.072954,0.229709,0.29064,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,708,12/31/1995,2
0.929167,0.51527,0.161417,0.307692,0.96527,0.04406,0,0.177931,0.02221,0,0.03056,0.013922,0.003925,0.001763,0.037718,0.00118,0.037466,0.614569,0,0,0.088708,0.06775,0.613234,0.011905,0.52,0.272727,0.007548,0.047135,0.061622,0.025806,0.010953,0.056625,0,0,0.067114,0,0,0,0,0.4375,0,0.035587,0.091884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,709,12/31/1995,0
0.917786,0.998434,0.212598,0.557692,0.96527,0.034519,0.027082,0.108939,0.024195,0,0.02801,0.011485,0.0035,0.00263,0.073066,0.041083,0.064304,0,0,0.023828,0.174807,0.174807,0,0.22619,0.08,0,0.283483,0.07692,0.130265,0.092903,0.105148,0,0,0.026667,0.130872,0,0,0.046154,0,0.555,0,0.019573,0.185299,0.118227,0.083916,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,712,12/31/1995,2
0.958009,0.820673,0.116142,0.858974,0.96527,0.039458,0,0.163033,0.0097,0,0.01846,0.012013,0.00342,0.001763,0.027955,0.033774,0.020752,0,0.299271,0,0.056846,0.056847,0,0.02381,0.28,0,0.005688,0.031515,0.054602,0.091613,0,0,0,0,0.059564,0,0,0.061538,0,0.4225,0,0.039146,0.075038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,713,12/31/1995,0
0.881168,0.457322,0.173228,0.891026,0.96527,0.041184,0.015527,0.117619,0.020683,0,0.012444,0.004662,0.003655,0.001763,0.046669,0.020185,0.042364,0,0,0,0.111753,0.111753,0,0.238095,0.08,0,0.289108,0.046669,0.096724,0.04129,0.043812,0.060023,0,0,0.104866,0,0,0,0.3,0.445,0,0.071174,0.111792,0.059113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,714,12/31/1995,0
0.915312,0.938136,0.153543,0.474359,0.96527,0.049546,0.06479,0.141211,0.020197,0,0.005897,0.00779,0.003187,0.001763,0.046296,0.040334,0.037694,0,0,0.015861,0.1168,0.1168,0,0.083333,0.2,0.181818,0.051115,0.046296,0.120905,0.050323,0.128149,0,0,0,0.130872,0,0,0,0,0.3275,0.104046,0.145907,0.068913,0.054187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,716,12/31/1995,1
0.946062,0.306969,0.212598,0.557692,0.96527,0.034045,0.037211,0.132716,0.010633,0,0.004086,0.005432,0.001678,0.001763,0.033996,0.004251,0.033089,0.010887,0,0,0.084081,0.083684,0.011634,0.321429,0.08,0,0.176459,0.034163,0.085803,0.056774,0.072289,0,0.25,0,0.093121,0,0,0.030769,0,0.4075,0,0.090747,0.07657,0.049261,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,717,12/31/1995,3
