@RELATION masshousingdata

@ATTRIBUTE Rm_Key REAL
@ATTRIBUTE Loan_Closed_Days_Since REAL
@ATTRIBUTE Census_Block_Order_Key REAL
@ATTRIBUTE Foa_Mgmt_Co_Dim_Key REAL
@ATTRIBUTE Owner_Key REAL
@ATTRIBUTE Is_Detail_Code_236DEC REAL
@ATTRIBUTE Is_Detail_Code_DISPA REAL
@ATTRIBUTE Is_Detail_Code_ELDER REAL
@ATTRIBUTE Is_Detail_Code_INTERN REAL
@ATTRIBUTE Is_Detail_Code_M2W REAL
@ATTRIBUTE Is_Detail_Code_M2WDEC REAL
@ATTRIBUTE Is_Detail_Code_MISC REAL
@ATTRIBUTE Is_Detail_Code_OPTION REAL
@ATTRIBUTE Is_Detail_Code_OSDEBT REAL
@ATTRIBUTE Is_Detail_Code_RAD REAL
@ATTRIBUTE Is_Detail_Code_RADDEC REAL
@ATTRIBUTE Is_Detail_Code_RDAL REAL
@ATTRIBUTE Is_Detail_Code_S8LMSA REAL
@ATTRIBUTE Is_Detail_Code_S8NCON REAL
@ATTRIBUTE Is_Detail_Code_S8SUBR REAL
@ATTRIBUTE Is_Detail_Code_SEC13A REAL
@ATTRIBUTE Is_Detail_Code_SEC236 REAL
@ATTRIBUTE Is_Detail_Code_SHARP REAL
@ATTRIBUTE Is_Detail_Code_SHRDAL REAL
@ATTRIBUTE Is_Detail_Code_SOFT REAL
@ATTRIBUTE Is_Detail_Code_TCRED4 REAL
@ATTRIBUTE Is_Detail_Code_TCRED9 REAL
@ATTRIBUTE Stmt_Days_Since REAL
@ATTRIBUTE Dsc_Ratio_Ii REAL
@ATTRIBUTE Current_Ratio REAL
@ATTRIBUTE Total_Total_Funds_Flow_Prior_To_Ce__DS REAL
@ATTRIBUTE Total_Replacement_Reserve_Reimbursements REAL
@ATTRIBUTE Total_Interest_Income_Earned_On_RR_And_Special_Escrow REAL
@ATTRIBUTE Total_Gross_Debt_Service__Mortgage REAL
@ATTRIBUTE Total_Gross_Debt_Service__Energy_Loans REAL
@ATTRIBUTE Total_Current_Assets REAL
@ATTRIBUTE Total_Current_Liabilities REAL
@ATTRIBUTE Current_Portion_Of_Mortgage_Payable REAL
@ATTRIBUTE Notes__Advances__Due_Within_1_Year REAL
@ATTRIBUTE Gross_Sf_Residential REAL
@ATTRIBUTE Gross_Sf_Residential_Communal REAL
@ATTRIBUTE Gross_Sf_Residential_Noncommunal REAL
@ATTRIBUTE Gross_Sf_Commercial REAL
@ATTRIBUTE Gross_Sf_Unfinished_Space REAL
@ATTRIBUTE Gross_Sf_Parking_Structure REAL
@ATTRIBUTE Square_Footage_Net_Rentable REAL
@ATTRIBUTE Square_Footage_Residential_Net_Rentable REAL
@ATTRIBUTE Square_Footage_Commercial_Net_Rentable REAL
@ATTRIBUTE Number_Of_Buildings REAL
@ATTRIBUTE Number_Of_Predominant_Stories REAL
@ATTRIBUTE Number_Of_Elevators REAL
@ATTRIBUTE Total_Gross_Sf_Land REAL
@ATTRIBUTE Total_Gross_Sf_Buildings REAL
@ATTRIBUTE Total_Rental_Units REAL
@ATTRIBUTE Low_Income_Rental_Units REAL
@ATTRIBUTE Moderate_Income_Rental_Units REAL
@ATTRIBUTE Market_Rate_Rental_Units REAL
@ATTRIBUTE Non_Revenue_Rental_Units REAL
@ATTRIBUTE Elderly_Restricted_Rental_Units REAL
@ATTRIBUTE Unrestricted_Rental_Units REAL
@ATTRIBUTE Student_Rental_Units REAL
@ATTRIBUTE Other_Restricted_Rental_Units REAL
@ATTRIBUTE Fully_Access_Handicapped_Rental_Units REAL
@ATTRIBUTE Partially_Access_Handicapped_Rental_Units REAL
@ATTRIBUTE Average_Bedroom_Density REAL
@ATTRIBUTE Studio_Rental_Units REAL
@ATTRIBUTE One_Bedroom_Rental_Units REAL
@ATTRIBUTE Two_Bedroom_Rental_Units REAL
@ATTRIBUTE Three_Bedroom_Rental_Units REAL
@ATTRIBUTE Four_Bedroom_Rental_Units REAL
@ATTRIBUTE Five_Bedroom_Rental_Units REAL
@ATTRIBUTE Six_Bedroom_Rental_Units REAL
@ATTRIBUTE Financial_Rating {1, 0}

@DATA
-1.11267,1.12308,0.518744,-0.777558,0.733286,-0.0825535,-0.058275,-0.0942219,-0.228543,-0.0825535,-0.0825535,-0.155776,-0.058275,-0.058275,-0.166821,-0.131201,-0.058275,-0.176571,-0.492797,2.08167,-0.401399,-0.248107,-0.236095,-0.10128,-0.348508,-0.210471,-0.12941,1.7038,-0.173919,0.0659099,-0.170065,0.0763068,0.782759,-0.137861,-0.0838857,-0.159248,-0.31487,-0.248585,-0.103376,-0.0512083,-0.423041,-0.00732496,-0.320497,-0.218732,-0.110161,-0.0573637,-0.0440239,-0.322542,-0.0574466,-0.252264,-0.787609,-0.465109,-0.147258,0.0588675,0.12621,-0.361256,0.349762,-0.279203,-0.681578,0.448341,0,-0.0418331,-0.791298,-0.129952,-1.19421,3.2386,-0.00569418,-0.513515,-0.119805,-0.324857,-0.131847,-0.0989331,1
-1.10111,1.16297,1.07348,2.9737,1.27959,-0.0825535,-0.058275,-0.0942219,-0.228543,-0.0825535,-0.0825535,-0.155776,-0.058275,-0.058275,-0.166821,-0.131201,-0.058275,-0.176571,-0.492797,2.08167,-0.401399,-0.248107,-0.236095,-0.10128,-0.348508,-0.210471,-0.12941,1.7038,-0.211995,-0.446429,-0.471178,-0.562153,-0.389536,-0.371639,-0.0838857,-0.34069,-0.236825,-0.199544,-0.103376,-0.219855,0.0408221,-0.226273,-0.320497,-0.218732,-0.110161,-0.28111,-0.269108,-0.322542,0.152362,-0.527371,-0.787609,-0.44222,-0.313751,-0.317174,0.0779547,-0.361256,-0.350313,-0.279203,-0.681578,0.0454992,0,-0.0418331,-0.791298,-0.129952,1.66154,-0.325276,-0.911464,-0.0766307,0.721232,1.05759,-0.131847,-0.0989331,1
-1.06641,0.988217,0.0495645,2.1123,-0.380328,-0.0825535,-0.058275,-0.0942219,4.37555,-0.0825535,-0.0825535,-0.155776,-0.058275,-0.058275,-0.166821,-0.131201,-0.058275,-0.176571,-0.492797,-0.480384,-0.401399,-0.248107,-0.236095,-0.10128,-0.348508,-0.210471,-0.12941,1.7038,-0.227225,-0.509594,-0.244065,-0.127891,-0.216305,-0.142207,-0.0838857,-0.373888,-0.216988,-0.196772,-0.103376,0.144175,1.15493,0.0244126,1.98061,-0.218732,1.2323,0.328849,0.235992,2.23525,-0.581969,2.77391,1.19161,-0.461049,0.248489,0.410906,-0.440789,0.56798,0.805625,-0.279203,2.03418,-0.708759,0,-0.0418331,-0.278686,-0.129952,-1.24431,2.29308,1.07186,-0.547122,-0.520298,-0.324857,-0.131847,-0.0989331,1
-1.06063,1.03228,-0.971591,-1.39814,-0.485385,-0.0825535,-0.058275,-0.0942219,4.37555,-0.0825535,-0.0825535,-0.155776,-0.058275,-0.058275,-0.166821,-0.131201,-0.058275,-0.176571,-0.492797,-0.480384,-0.401399,-0.248107,-0.236095,-0.10128,-0.348508,-0.210471,-0.12941,1.7038,0.130683,0.426185,-0.381985,0.153907,-0.265402,-0.445538,-0.0838857,-0.432155,-0.396718,-0.268651,-0.103376,-0.610144,-0.423041,-0.571688,-0.320497,-0.218732,-0.110161,-0.342727,-0.331094,-0.322542,-0.581969,1.12327,0.53187,-0.318826,-0.327874,-0.269169,-0.754447,-0.361256,0.870748,-0.279203,-0.681578,0.0969259,0,-0.0418331,-0.791298,-0.129952,-0.709902,-0.325276,0.228557,-0.463105,-0.520298,-0.324857,-0.131847,-0.0989331,1
-1.05485,1.20138,1.08176,2.9737,-0.842582,-0.0825535,-0.058275,-0.0942219,-0.228543,-0.0825535,-0.0825535,-0.155776,-0.058275,-0.058275,-0.166821,-0.131201,-0.058275,-0.176571,-0.492797,2.08167,-0.401399,-0.248107,-0.236095,-0.10128,-0.348508,-0.210471,-0.12941,1.7038,-0.257685,-0.277989,-0.383374,-0.518897,-0.0445824,-0.25201,-0.0838857,-0.122653,-0.168817,-0.131679,-0.103376,-0.11814,0.101067,-0.12989,-0.320497,8.21131,0.188703,0.270922,0.286225,-0.322542,0.676885,-0.527371,-0.787609,-0.359138,-0.0112618,0.0108622,0.57257,-0.361256,-0.350313,-0.279203,-0.681578,0.396915,0,-0.0418331,-0.791298,-0.129952,1.32753,-0.325276,-0.78653,0.276237,1.40207,0.525881,-0.131847,-0.0989331,1
-1.04906,1.12755,1.22251,-0.231078,1.44768,-0.0825535,-0.058275,-0.0942219,-0.228543,-0.0825535,-0.0825535,-0.155776,-0.058275,-0.058275,-0.166821,-0.131201,-0.058275,-0.176571,-0.492797,2.08167,-0.401399,-0.248107,-0.236095,-0.10128,-0.348508,-0.210471,-0.12941,1.7038,-0.31099,-0.0767964,-0.564418,-0.666837,-0.571823,-0.446768,-0.0838857,-0.386619,-0.357475,-0.242755,-0.103376,-0.0393439,0.122666,-0.0525946,1.27839,-0.218732,-0.110161,0.0328469,-0.0286671,1.45469,-0.581969,-0.252264,-0.787609,-0.45875,-0.100247,-0.565201,-0.296023,-0.361256,-0.350313,-0.279203,-0.681578,-0.220205,0,-0.0418331,-0.791298,-0.129952,2.51326,-0.325276,-0.911464,-0.681547,0.721232,1.5893,-0.131847,-0.0989331,1
-1.02593,1.14481,1.75241,-0.221816,1.46869,-0.0825535,-0.058275,-0.0942219,-0.228543,-0.0825535,-0.0825535,-0.155776,-0.058275,-0.058275,5.99444,-0.131201,-0.058275,-0.176571,-0.492797,-0.480384,-0.401399,-0.248107,-0.236095,-0.10128,-0.348508,-0.210471,-0.12941,1.7038,-0.387141,-0.462805,-0.454713,-0.300953,-0.497541,-0.31204,-0.0838857,-0.365468,-0.225412,-0.216569,-0.0417451,0.328458,-0.423041,0.376028,-0.320497,-0.218732,-0.110161,0.812621,0.831163,-0.322542,0.362171,-0.527371,-0.787609,0.451546,0.22756,0.0508666,-0.57349,-0.361256,1.27777,-0.279203,-0.681578,0.43977,0,-0.0418331,-0.791298,-0.129952,1.09373,-0.325276,-0.958314,0.881154,0.921478,-0.324857,-0.131847,-0.0989331,0
-1.01437,1.15881,0.400069,1.35279,-0.443362,-0.0825535,-0.058275,-0.0942219,-0.228543,-0.0825535,-0.0825535,-0.155776,-0.058275,-0.058275,-0.166821,-0.131201,-0.058275,-0.176571,2.02923,-0.480384,-0.401399,-0.248107,-0.236095,-0.10128,-0.348508,-0.210471,-0.12941,1.7038,-0.0749237,-0.39964,-0.40943,-0.666837,0.0118251,-0.339998,-0.0838857,-0.405602,-0.31702,-0.235497,-0.103376,-0.114359,-0.343648,-0.0794176,-0.320497,-0.218732,-0.110161,-0.0567975,-0.0434543,-0.322542,1.0965,-0.802478,-0.787609,0.403335,-0.209602,-0.221163,-0.0426833,-0.361256,0.0078649,-0.279203,-0.681578,0.148353,0,-0.0418331,-0.791298,-0.129952,0.576021,-0.325276,-0.708447,0.44427,-0.039706,-0.324857,-0.131847,-0.0989331,1
-1.0028,1.11504,-0.193305,-1.26846,0.481147,-0.0825535,-0.058275,-0.0942219,-0.228543,-0.0825535,-0.0825535,6.41946,-0.058275,-0.058275,-0.166821,-0.131201,-0.058275,-0.176571,-0.492797,-0.480384,-0.401399,-0.248107,-0.236095,-0.10128,-0.348508,-0.210471,-0.12941,1.7038,0.0240719,7.51237,0.0187025,0.90689,0.586748,-0.139844,-0.0838857,2.83603,-0.320456,-0.227335,-0.103376,0.241308,0.283253,0.213936,-0.320497,-0.218732,-0.0244541,-0.0109028,0.00271479,-0.322542,-0.0574466,-0.527371,-0.787609,-0.220019,0.151232,0.210884,-0.103002,0.110736,0.447447,-0.279203,-0.681578,0.611193,0,-0.0418331,-0.791298,-0.129952,-0.091991,0.765705,-0.271178,0.713122,-0.239953,-0.324857,-0.131847,-0.0989331,1
-0.985456,1.01501,1.18387,0.463599,-0.0861655,-0.0825535,-0.058275,-0.0942219,-0.228543,-0.0825535,-0.0825535,-0.155776,-0.058275,-0.058275,-0.166821,-0.131201,-0.058275,-0.176571,-0.492797,2.08167,-0.401399,-0.248107,-0.236095,-0.10128,-0.348508,-0.210471,-0.12941,1.7038,0.123068,-0.111888,-0.664619,-0.666837,-0.63224,-0.602824,-0.0838857,-0.527023,-0.430903,-0.31132,-0.103376,-0.566572,-0.378645,-0.532351,-0.320497,0.253359,-0.0570524,-0.884927,-0.876536,-0.322542,-0.581969,-0.527371,-0.787609,-0.541626,-0.640605,-0.973246,-0.911277,-0.361256,-0.350313,-0.279203,-0.681578,-0.657332,0,-0.0418331,-0.791298,-0.129952,3.43177,-0.325276,-0.958314,-0.765564,-0.440199,0.100512,-0.131847,-0.0989331,1
