rm_key Loan_Closed_Date census_block_order_key foa_mgmt_co_dim_key owner_key |Principal Program Detail Code| Stmt_date |Financial Rating Letter Grade| DSC_Ratio_II Current_Ratio |Total Total Funds Flow Prior to CE & D/S (Line 62)| |Total Replacement Reserve Reimbursements (Line 18A)| |Total Interest Income Earned on R/R and Special Escrow (Line 78)| |Total Gross Debt Service - Mortgage (MHFA) (Line 66)| |Total Gross Debt Service - Energy Loans (Line 68)| |Total Current Assets (Line 230)| |Total Current Liabilities (Line 280)| |Current Portion of Mortgage Payable (Line 251)| |Notes & Advances - due within 1 year (Line 252)| |Gross Sf Residential| |Gross Sf Residential Communal| |Gross Sf Residential Noncommunal| |Gross Sf Commercial| |Gross Sf Unfinished Space| |Gross Sf Parking Structure| |Square Footage Net Rentable| |Square Footage Residential Net Rentable| |Square Footage Commercial Net Rentable| |Number Of Buildings| |Number Of Predominant Stories| |Number Of Elevators| |Total Gross Sf Land| |Total Gross Sf Buildings| |Total Rental Units| |Low Income Rental Units| |Moderate Income Rental Units| |Market Rate Rental Units| |Non_revenue Rental Units| |Elderly Restricted Rental Units| |Unrestricted Rental Units| |Student Rental Units| |Other Restricted Rental Units| |Fully Access Handicapped Rental Units| |Partially Access Handicapped Rental Units| |Average Bedroom Density| |Studio Rental Units| |One Bedroom Rental Units| |Two Bedroom Rental Units| |Three Bedroom Rental Units| |Four Bedroom Rental Units| |Five Bedroom Rental Units| |Six Bedroom Rental Units| change_housing_index perc_low_income perc_mod_income perc_market_rate perc_nonrevenue perc_elderly_restricted perc_unrestricted perc_student perc_other_restricted perc_fully_access_handi perc_part_access_handi perc_studio perc_1bed perc_2bed perc_3bed perc_4bed perc_5bed perc_6bed ratio_2bed_studio ratio_2bed_1bed ratio_2bed_3bed ratio_2bed_4bed ratio_2bed_5bed ratio_2bed_6bed
11 10/1/1971 832 89 121 S8SUBR 12/31/1995 A 1.03 3.22 599,241 97,738 30,249 456,537 0 401,788 170,572 45,828 0 107,600 0 107,600 0 0 0 85,100 85,100 0 6 4 0 38,053 107,600 135 92 0 43 0 0 135 0 0 0 0 0.9 49 61 15 10 0 0 0 0.124 0.6814814814814815 0.0 0.31851851851851853 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.362962962962963 0.45185185185185184 0.1111111111111111 0.07407407407407407 0.0 0.0 0.0 0.30612244897959184 0.2459016393442623 1.5 1 1 1
12 5/20/1971 1033 494 147 S8SUBR 12/31/1995 B 0.98 1.03 250,271 13,768 5,393 236,164 0 208,103 280,200 78,645 0 75,134 9,278 65,856 0 0 0 64,551 64,551 0 8 3 0 47,980 75,134 88 88 0 0 0 0 88 0 0 0 0 2.61 0 3 41 31 13 0 0 0.124 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.03409090909090909 0.4659090909090909 0.3522727272727273 0.14772727272727273 0.0 0.0 1 13.666666666666666 1.3225806451612903 3.1538461538461537 1 1
13 12/27/1972 662 401 68 INTERN 12/31/1995 C 0.96 0.76 513,479 70,882 9,066 452,440 0 172,665 308,065 80,500 0 145,213 31,562 113,651 9,906 0 29,651 120,570 110,664 9,906 1 15 3 39,814 184,770 179 45 63 71 0 179 0 0 0 4 0 0.87 36 130 13 0 0 0 0 0.124 0.25139664804469275 0.35195530726256985 0.39664804469273746 0.0 1.0 0.0 0.0 0.0 0.0223463687150838 0.0 0.2011173184357542 0.7262569832402235 0.07262569832402235 0.0 0.0 0.0 0.0 0.3611111111111111 0.1 1 1 1 1
14 8/1/1972 292 22 63 INTERN 12/31/1995 A 1.43 4.76 353,640 107,944 8,025 166,502 0 110,466 55,603 32,400 0 0 0 0 0 0 0 58,892 58,892 0 1 9 2 101,495 72,380 94 19 0 75 0 0 94 0 0 0 0 1.19 0 76 18 0 0 0 0 0.124 0.20212765957446807 0.0 0.7978723404255319 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.8085106382978723 0.19148936170212766 0.0 0.0 0.0 0.0 1 0.23684210526315788 1 1 1 1
15 1/11/1971 1036 494 46 S8SUBR 12/31/1995 B 0.92 1.75 352,030 19,457 12,707 348,933 0 440,852 375,729 124,059 0 94,715 10,483 84,232 0 32,803 6,601 115,250 115,250 0 13 3 0 84,012 134,119 129 129 0 0 0 0 129 0 0 0 0 2.41 0 11 62 48 8 0 0 0.124 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.08527131782945736 0.4806201550387597 0.37209302325581395 0.06201550387596899 0.0 0.0 1 5.636363636363637 1.2916666666666667 7.75 1 1
16 9/16/1971 1087 148 155 S8SUBR 12/31/1995 C 0.85 2.61 142,212 0 1,528 165,343 0 159,074 110,727 49,729 0 109,884 10,915 98,969 6,883 0 0 93,385 86,502 6,883 1 4 0 40,811 116,767 57 57 0 0 0 0 57 0 0 0 0 3.12 0 3 5 31 18 0 0 0.124 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.05263157894736842 0.08771929824561403 0.543859649122807 0.3157894736842105 0.0 0.0 1 1.6666666666666667 0.16129032258064516 0.2777777777777778 1 1
17 7/20/1971 1279 149 156 RAD 12/31/1995 F 0.75 0.96 269,353 48,121 3,103 292,345 0 181,653 296,231 67,252 40,000 180,689 0 180,689 0 0 0 165,000 165,000 0 10 3 0 435,600 180,689 134 34 0 100 0 0 134 0 0 0 0 2.27 0 0 98 36 0 0 0 0.124 0.2537313432835821 0.0 0.746268656716418 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.7313432835820896 0.26865671641791045 0.0 0.0 0.0 1 1 2.7222222222222223 1 1 1
18 6/3/1971 789 319 65 S8NCON 12/31/1995 A 1.16 1.23 321,833 0 13,903 265,990 0 138,810 167,552 54,586 0 95,443 1,588 93,855 0 0 0 85,152 85,152 0 17 2 0 414,691 95,443 100 78 0 22 0 0 100 0 0 0 0 1.96 0 16 72 12 0 0 0 0.124 0.78 0.0 0.22 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.16 0.72 0.12 0.0 0.0 0.0 1 4.5 6.0 1 1 1
19 10/28/1971 574 36 109 MISC 12/31/1995 A 1.29 35.05 818,009 206,976 26,093 454,667 0 3,599,184 162,726 60,048 0 163,912 14,127 149,785 0 0 1,893 89,367 89,367 0 6 3 0 144,347 165,805 154 73 32 49 0 0 154 0 0 0 0 1.56 15 44 88 7 0 0 0 0.124 0.474025974025974 0.2077922077922078 0.3181818181818182 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.09740259740259741 0.2857142857142857 0.5714285714285714 0.045454545454545456 0.0 0.0 0.0 5.866666666666666 2.0 12.571428571428571 1 1 1
20 9/28/1972 1073 223 82 S8SUBR 12/31/1995 A 1.42 2.46 26,086 0 247 18,235 0 9,196 7,585 3,847 0 8,388 888 7,500 0 1,837 1,173 9,096 9,096 0 1 3 0 4,868 11,398 6 6 0 0 0 0 6 0 0 0 0 3.67 0 0 0 2 4 0 0 0.124 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333333333333333 0.6666666666666666 0.0 0.0 1 1 0.0 0.0 1 1
