rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
198,5/11/2005,1107,451,117,S8SUBR,6/30/2007,C,0.89,1.3,"897,426","581,764","39,610","311,462",0,"187,000","181,431","37,335",0,"80,000",,"80,000",,,,,,,1,4,2,,"80,000",84,83,0,0,1,83,1,0,0,4,0,0.58,36,47,1,0,0,0,0
198,5/11/2005,1107,451,117,S8SUBR,6/30/2008,D,0.95,0.8,"381,563","51,632","33,656","311,795",0,"93,804","156,536","39,444",0,"80,000",,"80,000",,,,,,,1,4,2,,"80,000",84,83,0,0,1,83,1,0,0,4,0,0.58,36,47,1,0,0,0,0
198,5/11/2005,1107,451,117,S8SUBR,6/30/2009,A,1.08,1.69,"452,486","98,325","16,401","313,255",0,"140,420","124,730","41,673",0,"80,000",,"80,000",,,,,,,1,4,2,,"80,000",84,83,0,0,1,83,1,0,0,4,0,0.58,36,47,1,0,0,0,0
198,5/11/2005,1107,451,117,S8SUBR,6/30/2010,A,1.18,2.01,"408,222","35,872","5,107","310,974",0,"154,826","121,080","44,028",0,"80,000",,"80,000",,,,,,,1,4,2,,"80,000",84,83,0,0,1,83,1,0,0,4,0,0.58,36,47,1,0,0,0,0
201,1/8/2003,1245,89,114,S8NCON,12/31/2003,A,1.33,2.2,"2,345,739","35,888","66,884","1,688,077",0,"1,676,341","1,169,488","409,166",0,"259,495",,"259,495",,,,,,,2,9,4,,"259,495",302,300,0,0,2,300,2,0,0,36,0,1.22,0,235,67,0,0,0,0
201,1/8/2003,1245,89,114,S8NCON,12/31/2004,A,1.32,2.76,"2,436,482","84,870","7,376","1,773,353",0,"1,532,290","987,020","432,204",0,"259,495",,"259,495",,,,,,,2,9,4,,"259,495",302,300,0,0,2,300,2,0,0,36,0,1.22,0,235,67,0,0,0,0
201,1/8/2003,1245,89,114,S8NCON,12/31/2005,A,1.28,1.81,"2,388,304","114,945","6,649","1,773,248",0,"1,307,635","1,180,937","456,540",0,"259,495",,"259,495",,,,,,,2,9,4,,"259,495",302,300,0,0,2,300,2,0,0,36,0,1.22,0,235,67,0,0,0,0
201,1/8/2003,1245,89,114,S8NCON,12/31/2006,A,1.31,1.35,"2,438,868","99,138","11,438","1,775,229",0,"1,176,237","1,353,548","482,247",0,"259,495",,"259,495",,,,,,,2,9,4,,"259,495",302,300,0,0,2,300,2,0,0,36,0,1.22,0,235,67,0,0,0,0
201,1/8/2003,1245,89,114,S8NCON,12/31/2007,B,1.27,0.76,"2,468,834","195,983","27,050","1,768,817",0,"756,728","1,506,468","509,402",0,"259,495",,"259,495",,,,,,,2,9,4,,"259,495",302,300,0,0,2,300,2,0,0,36,0,1.22,0,235,67,0,0,0,0
201,1/8/2003,1245,89,114,S8NCON,12/31/2008,B,1.26,0.74,"2,352,782","113,283","9,509","1,767,534",0,"904,865","1,769,093","538,086",0,"259,495",,"259,495",,,,,,,2,9,4,,"259,495",302,300,0,0,2,300,2,0,0,36,0,1.22,0,235,67,0,0,0,0
